Title,Image,URL,Date,Label
Penampakan Toko Elektronik di Jakarta Sepi Bak Kuburan,https://akcdn.detik.net.id/visual/2023/10/04/suasana-seppi-pada-toko-toko-elektronik-di-pusat-grosir-cililitan-pgc-jakarta-cnbc-indonesiatri-susilo_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004162639-38-477901/penampakan-toko-elektronik-di-jakarta-sepi-bak-kuburan,1 hari yang lalu,Tech
"Ada Perang Tarif Internet, Pengusaha Sebut Era Telepon Rp 1",https://akcdn.detik.net.id/visual/2021/02/02/penjual-ritel-operator-seluler-5_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004071811-37-477660/ada-perang-tarif-internet-pengusaha-sebut-era-telepon-rp-1,1 hari yang lalu,Tech
Jokowi: Potensi Ekonomi Digital RI Bisa Tembus Rp11.000 T,https://akcdn.detik.net.id/visual/2023/10/04/pengarahan-presiden-jokowi-kepada-ppsa-xxiv-dan-alumni-ppra-lxv-2023-lemhannas-dok-sekretariat-presiden_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004173201-37-477931/jokowi-potensi-ekonomi-digital-ri-bisa-tembus-rp11000-t,1 hari yang lalu,Tech
Kisah Pedagang Tanah Abang Pindah TikTok Shop Cuan Segini,https://akcdn.detik.net.id/visual/2023/10/04/karyawan-melihat-produk-yang-dijual-melalui-tiktok-shop-di-jakarta-rabu-4102023-cnbc-indonesiafaisal-rahman-6_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004183021-37-477950/kisah-pedagang-tanah-abang-pindah-tiktok-shop-cuan-segini,1 hari yang lalu,Tech
Jokowi Kasih Peringatan Soal Data Digital Jelang Pemilu 2024,https://akcdn.detik.net.id/visual/2023/10/02/lapor-pak-jokowi-indonesia-masih-dihantui-4-malapetaka-ini_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004172604-37-477928/jokowi-kasih-peringatan-soal-data-digital-jelang-pemilu-2024,1 hari yang lalu,Tech
"Perubahan Teknologi Cepat, Jokowi Ingatkan RI Jangan Gagap!",https://akcdn.detik.net.id/visual/2023/10/04/pengarahan-presiden-jokowi-kepada-ppsa-xxiv-dan-alumni-ppra-lxv-2023-lemhannas-dok-sekretariat-presiden-1_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004172428-37-477927/perubahan-teknologi-cepat-jokowi-ingatkan-ri-jangan-gagap,1 hari yang lalu,Tech
Joe Biden Kasih Peringatan Baru ke China Soal Blokir Chip,https://akcdn.detik.net.id/visual/2023/06/21/indonesia-us-china-g20-summit_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231003144244-37-477490/joe-biden-kasih-peringatan-baru-ke-china-soal-blokir-chip,1 hari yang lalu,Tech
"Bandar Kripto Bangkrut Disidang, Tangan Kanan Trump Bersaksi",https://akcdn.detik.net.id/visual/2022/12/23/pendiri-ftx-sam-bankman-fried-dibebaskan-dengan-jaminan-us250-juta-sekitar-rp-39-triliun-sambil-menunggu-persidangan-atas-peni-4_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004142200-37-477844/bandar-kripto-bangkrut-disidang-tangan-kanan-trump-bersaksi,1 hari yang lalu,Tech
"TikTok Shop Resmi Tutup, Pedagang Diminta Pindah ke Sini",https://akcdn.detik.net.id/visual/2023/10/04/seorang-pekerja-melihat-berbagai-produk-secara-langsung-di-tiktokshop-7_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004145912-37-477866/tiktok-shop-resmi-tutup-pedagang-diminta-pindah-ke-sini,1 hari yang lalu,Tech
"TikTok Shop Ditutup Sore Ini, HP & Laptop Diskon Gila-Gilaan",https://akcdn.detik.net.id/visual/2023/10/04/seorang-pekerja-melihat-berbagai-produk-secara-langsung-di-tiktokshop-8_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004161532-37-477894/tiktok-shop-ditutup-sore-ini-hp-laptop-diskon-gila-gilaan,1 hari yang lalu,Tech
Heboh Iklan TikTok Penipu Jual iPhone Murah Pakai AI,https://akcdn.detik.net.id/visual/2023/10/04/seorang-pekerja-melihat-berbagai-produk-secara-langsung-di-tiktokshop-10_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004115132-37-477764/heboh-iklan-tiktok-penipu-jual-iphone-murah-pakai-ai,1 hari yang lalu,Tech
"Harga Langganan Netflix Bakal Naik, Ini Penyebabnya",https://akcdn.detik.net.id/visual/2020/06/09/netflix-1_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004102228-37-477732/harga-langganan-netflix-bakal-naik-ini-penyebabnya,1 hari yang lalu,Tech
"Proyek Fiktif Sigma Cipta Caraka Diusut, Negara Rugi Rp318M",https://akcdn.detik.net.id/visual/2023/10/03/konferensi-pers-kejaksaan-agung-dok-kejagung_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004144011-37-477851/proyek-fiktif-sigma-cipta-caraka-diusut-negara-rugi-rp318m,1 hari yang lalu,Tech
"Salah Blokir Situs HackerRank, Kominfo Buka Suara",https://akcdn.detik.net.id/visual/2023/09/20/ilustrasi-judi-online-cnbc-indonesiamuhammad-sabki-1_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004133149-37-477812/salah-blokir-situs-hackerrank-kominfo-buka-suara,1 hari yang lalu,Tech
Deretan Fakta TikTok Shop Ditutup di Indonesia Hari Ini,https://akcdn.detik.net.id/visual/2023/09/23/jokowi-menegaskan-bahwa-semestinya-tiktok-shop-merupakan-medial-sosial-bukan-ekonomi-media_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004105351-37-477747/deretan-fakta-tiktok-shop-ditutup-di-indonesia-hari-ini,1 hari yang lalu,Tech
Jokowi: Ada Aplikasi Tahu Data Belanja 123 Juta Warga RI,https://akcdn.detik.net.id/visual/2023/10/04/seorang-pekerja-melihat-berbagai-produk-secara-langsung-di-tiktokshop-6_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004123833-37-477777/jokowi-ada-aplikasi-tahu-data-belanja-123-juta-warga-ri,2 hari yang lalu,Tech
Cara Warga Ikut RI Judi Online Tanpa Punya Rekening,https://akcdn.detik.net.id/visual/2023/09/20/ilustrasi-judi-online-cnbc-indonesiamuhammad-sabki-2_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004103910-37-477741/cara-warga-ikut-ri-judi-online-tanpa-punya-rekening,2 hari yang lalu,Tech
"TikTok Shop Ditutup, Ini Syarat Bisa Jualan Lagi di Indonesia",https://akcdn.detik.net.id/visual/2023/05/26/hati-hati-shopee-lazada-tiktok-mau-jajah-asia-tenggara_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004103515-37-477740/tiktok-shop-ditutup-ini-syarat-bisa-jualan-lagi-di-indonesia,2 hari yang lalu,Tech
"Media Asing Sorot TikTok Shop Ditutup, Pedagang Merana",https://akcdn.detik.net.id/visual/2020/09/21/trump-tiktok-deal_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004091622-37-477708/media-asing-sorot-tiktok-shop-ditutup-pedagang-merana,2 hari yang lalu,Tech
"Pakai Google Maps Bisa Kesasar, Ini Penyebabnya",https://akcdn.detik.net.id/visual/2020/02/07/38a590ce-f5e5-4af9-be3d-ddcbf1e8a593_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004080453-37-477681/pakai-google-maps-bisa-kesasar-ini-penyebabnya,2 hari yang lalu,Tech
"Aplikasi Yandex Browser Viral, Pesaing Google dari Rusia",https://akcdn.detik.net.id/visual/2022/03/07/ceo-yandex-arkady-volozh_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004092922-37-477712/aplikasi-yandex-browser-viral-pesaing-google-dari-rusia,2 hari yang lalu,Tech
"Harga Galaxy S23 Versi Murah Resmi di RI, Cek Spek Lengkap!",https://akcdn.detik.net.id/visual/2023/10/04/galaxy-s23-fe-1_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004094832-37-477720/harga-galaxy-s23-versi-murah-resmi-di-ri-cek-spek-lengkap,2 hari yang lalu,Tech
Terbaru! Kini Belanja COD Bisa Cek Dulu Baru Bayar di Shopee,https://akcdn.detik.net.id/visual/2020/07/13/ilustrasi-toko-online-ist_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004095533-37-477723/terbaru-kini-belanja-cod-bisa-cek-dulu-baru-bayar-di-shopee,2 hari yang lalu,Tech
